Experiment name:,1st experiment
Duration:, 5 0
Rate:, 50 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, Arb
Units:, Arb
Time
'0:0:5.68,25876
'0:0:5.7,25876
'0:0:5.72,25876
'0:0:5.74,25876
'0:0:5.76,25876
'0:0:5.78,25876
'0:0:5.8,25876
'0:0:5.82,25876
'0:0:5.84,25876
'0:0:5.86,25876
'0:0:5.88,25876
'0:0:5.9,25876
'0:0:5.92,25908
'0:0:5.94,25908
'0:0:5.96,25908
'0:0:5.98,25908
'0:0:6.0,25908
'0:0:6.02,25908
'0:0:6.04,25908
'0:0:6.06,25908
'0:0:6.08,25908
'0:0:6.1,25908
'0:0:6.12,25908
'0:0:6.14,25908
'0:0:6.16,25931
'0:0:6.18,25931
'0:0:6.2,25931
'0:0:6.22,25931
'0:0:6.24,25931
'0:0:6.26,25931
'0:0:6.28,25931
'0:0:6.3,25931
'0:0:6.32,25931
'0:0:6.34,25931
'0:0:6.36,25931
'0:0:6.38,25931
'0:0:6.4,25931
'0:0:6.42,25943
'0:0:6.44,25943
'0:0:6.46,25943
'0:0:6.48,25943
'0:0:6.5,25943
'0:0:6.52,25943
'0:0:6.54,25943
'0:0:6.56,25943
'0:0:6.58,25943
'0:0:6.6,25943
'0:0:6.62,25943
'0:0:6.64,25943
'0:0:6.66,25954
'0:0:6.68,25954
'0:0:6.7,25954
'0:0:6.72,25954
'0:0:6.74,25954
'0:0:6.76,25954
'0:0:6.78,25954
'0:0:6.8,25954
'0:0:6.82,25954
'0:0:6.84,25954
'0:0:6.86,25954
'0:0:6.88,25954
'0:0:6.9,25963
'0:0:6.92,25963
'0:0:6.94,25963
'0:0:6.96,25963
'0:0:6.98,25963
'0:0:7.0,25963
'0:0:7.02,25963
'0:0:7.04,25963
'0:0:7.06,25963
'0:0:7.08,25963
'0:0:7.1,25963
'0:0:7.12,25963
'0:0:7.14,25963
'0:0:7.16,25974
'0:0:7.18,25974
'0:0:7.2,25974
'0:0:7.22,25974
'0:0:7.24,25974
'0:0:7.26,25974
'0:0:7.28,25974
'0:0:7.3,25974
'0:0:7.32,25974
'0:0:7.34,25974
'0:0:7.36,25974
'0:0:7.38,25974
'0:0:7.4,25982
'0:0:7.42,25982
'0:0:7.44,25982
'0:0:7.46,25982
'0:0:7.48,25982
'0:0:7.5,25982
'0:0:7.52,25982
'0:0:7.54,25982
'0:0:7.56,25982
'0:0:7.58,25982
'0:0:7.6,25982
'0:0:7.62,25982
'0:0:7.64,25987
'0:0:7.66,25987
'0:0:7.68,25987
'0:0:7.7,25987
'0:0:7.72,25987
'0:0:7.74,25987
'0:0:7.76,25987
'0:0:7.78,25987
'0:0:7.8,25987
'0:0:7.82,25987
'0:0:7.84,25987
'0:0:7.86,25987
'0:0:7.88,25987
'0:0:7.9,25994
'0:0:7.92,25994
'0:0:7.94,25994
'0:0:7.96,25994
'0:0:7.98,25994
'0:0:8.0,25994
'0:0:8.02,25994
'0:0:8.04,25994
'0:0:8.06,25994
'0:0:8.08,25994
'0:0:8.1,25994
'0:0:8.12,25994
'0:0:8.14,26000
'0:0:8.16,26000
'0:0:8.18,26000
'0:0:8.2,26000
'0:0:8.22,26000
'0:0:8.24,26000
'0:0:8.26,26000
'0:0:8.28,26000
'0:0:8.3,26000
'0:0:8.32,26000
'0:0:8.34,26000
'0:0:8.36,26000
'0:0:8.38,26000
'0:0:8.4,26009
'0:0:8.42,26009
'0:0:8.44,26009
'0:0:8.46,26009
'0:0:8.48,26009
'0:0:8.5,26009
'0:0:8.52,26009
'0:0:8.54,26009
'0:0:8.56,26009
'0:0:8.58,26009
'0:0:8.6,26009
'0:0:8.62,26009
'0:0:8.64,26016
'0:0:8.66,26016
'0:0:8.68,26016
'0:0:8.7,26016
'0:0:8.72,26016
'0:0:8.74,26016
'0:0:8.76,26016
'0:0:8.78,26016
'0:0:8.8,26016
'0:0:8.82,26016
'0:0:8.84,26016
'0:0:8.86,26016
'0:0:8.88,26016
'0:0:8.9,26018
'0:0:8.92,26018
'0:0:8.94,26018
'0:0:8.96,26018
'0:0:8.98,26018
'0:0:9.0,26018
'0:0:9.02,26018
'0:0:9.04,26018
'0:0:9.06,26018
'0:0:9.08,26018
'0:0:9.1,26018
'0:0:9.12,26018
'0:0:9.14,26021
'0:0:9.16,26021
'0:0:9.18,26021
'0:0:9.2,26021
'0:0:9.22,26021
'0:0:9.24,26021
'0:0:9.26,26021
'0:0:9.28,26021
'0:0:9.3,26021
'0:0:9.32,26021
'0:0:9.34,26021
'0:0:9.36,26021
'0:0:9.38,26024
'0:0:9.4,26024
'0:0:9.42,26024
'0:0:9.44,26024
'0:0:9.46,26024
'0:0:9.48,26024
'0:0:9.5,26024
'0:0:9.52,26024
'0:0:9.54,26024
'0:0:9.56,26024
'0:0:9.58,26024
'0:0:9.6,26024
'0:0:9.62,26024
'0:0:9.64,26028
'0:0:9.66,26028
'0:0:9.68,26028
'0:0:9.7,26028
'0:0:9.72,26028
'0:0:9.74,26028
'0:0:9.76,26028
'0:0:9.78,26028
'0:0:9.8,26028
'0:0:9.82,26028
'0:0:9.84,26028
'0:0:9.86,26028
'0:0:9.88,26030
'0:0:9.9,26030
'0:0:9.92,26030
'0:0:9.94,26030
'0:0:9.96,26030
'0:0:9.98,26030
'0:0:10.0,26030
'0:0:10.02,26030
'0:0:10.04,26030
'0:0:10.06,26030
'0:0:10.08,26030
'0:0:10.1,26030
'0:0:10.12,26030
'0:0:10.14,26028
'0:0:10.16,26028
'0:0:10.18,26028
'0:0:10.2,26028
'0:0:10.22,26028
'0:0:10.24,26028
'0:0:10.26,26028
'0:0:10.28,26028
'0:0:10.3,26028
'0:0:10.32,26028
'0:0:10.34,26028
'0:0:10.36,26028
'0:0:10.38,26023
'0:0:10.4,26023
'0:0:10.42,26023
'0:0:10.44,26023
'0:0:10.46,26023
'0:0:10.48,26023
'0:0:10.5,26023
'0:0:10.52,26023
'0:0:10.54,26023
'0:0:10.56,26023
'0:0:10.58,26023
'0:0:10.6,26023
'0:0:10.62,26017
'0:0:10.64,26017
'0:0:10.66,26017
'0:0:10.68,26017
'0:0:10.7,26017
'0:0:10.72,26017
'0:0:10.74,26017
'0:0:10.76,26017
'0:0:10.78,26017
'0:0:10.8,26017
'0:0:10.82,26017
'0:0:10.84,26017
'0:0:10.86,26017
'0:0:10.88,26014
'0:0:10.9,26014
'0:0:10.92,26014
'0:0:10.94,26014
'0:0:10.96,26014
'0:0:10.98,26014
'0:0:11.0,26014
'0:0:11.02,26014
'0:0:11.04,26014
'0:0:11.06,26014
'0:0:11.08,26014
'0:0:11.1,26014
'0:0:11.12,26014
'0:0:11.14,26014
'0:0:11.16,26014
'0:0:11.18,26014
'0:0:11.2,26014
'0:0:11.22,26014
'0:0:11.24,26014
'0:0:11.26,26014
'0:0:11.28,26014
'0:0:11.3,26014
'0:0:11.32,26014
'0:0:11.34,26014
'0:0:11.36,26014
'0:0:11.38,26016
'0:0:11.4,26016
'0:0:11.42,26016
'0:0:11.44,26016
'0:0:11.46,26016
'0:0:11.48,26016
'0:0:11.5,26016
'0:0:11.52,26016
'0:0:11.54,26016
'0:0:11.56,26016
'0:0:11.58,26016
'0:0:11.6,26016
'0:0:11.62,26017
'0:0:11.64,26017
'0:0:11.66,26017
'0:0:11.68,26017
'0:0:11.7,26017
'0:0:11.72,26017
'0:0:11.74,26017
'0:0:11.76,26017
'0:0:11.78,26017
'0:0:11.8,26017
'0:0:11.82,26017
'0:0:11.84,26017
'0:0:11.86,26017
'0:0:11.88,26017
'0:0:11.9,26017
'0:0:11.92,26017
'0:0:11.94,26017
'0:0:11.96,26017
'0:0:11.98,26017
'0:0:12.0,26017
'0:0:12.02,26017
'0:0:12.04,26017
'0:0:12.06,26017
'0:0:12.08,26017
'0:0:12.1,26017
'0:0:12.12,26013
'0:0:12.14,26013
'0:0:12.16,26013
'0:0:12.18,26013
'0:0:12.2,26013
'0:0:12.22,26013
'0:0:12.24,26013
'0:0:12.26,26013
'0:0:12.28,26013
'0:0:12.3,26013
'0:0:12.32,26013
'0:0:12.34,26013
'0:0:12.36,26007
'0:0:12.38,26007
'0:0:12.4,26007
'0:0:12.42,26007
'0:0:12.44,26007
'0:0:12.46,26007
'0:0:12.48,26007
'0:0:12.5,26007
'0:0:12.52,26007
'0:0:12.54,26007
'0:0:12.56,26007
'0:0:12.58,26007
'0:0:12.6,26007
'0:0:12.62,25998
'0:0:12.64,25998
'0:0:12.66,25998
'0:0:12.68,25998
'0:0:12.7,25998
'0:0:12.72,25998
'0:0:12.74,25998
'0:0:12.76,25998
'0:0:12.78,25998
'0:0:12.8,25998
'0:0:12.82,25998
'0:0:12.84,25998
'0:0:12.86,25986
'0:0:12.88,25986
'0:0:12.9,25986
'0:0:12.92,25986
'0:0:12.94,25986
'0:0:12.96,25986
'0:0:12.98,25986
'0:0:13.0,25986
'0:0:13.02,25986
'0:0:13.04,25986
'0:0:13.06,25986
'0:0:13.08,25986
'0:0:13.1,25986
'0:0:13.12,25974
'0:0:13.14,25974
'0:0:13.16,25974
'0:0:13.18,25974
'0:0:13.2,25974
'0:0:13.22,25974
'0:0:13.24,25974
'0:0:13.26,25974
'0:0:13.28,25974
'0:0:13.3,25974
'0:0:13.32,25974
'0:0:13.34,25974
'0:0:13.36,25962
'0:0:13.38,25962
'0:0:13.4,25962
'0:0:13.42,25962
'0:0:13.44,25962
'0:0:13.46,25962
'0:0:13.48,25962
'0:0:13.5,25962
'0:0:13.52,25962
'0:0:13.54,25962
'0:0:13.56,25962
'0:0:13.58,25962
'0:0:13.6,25950
'0:0:13.62,25950
'0:0:13.64,25950
'0:0:13.66,25950
'0:0:13.68,25950
'0:0:13.7,25950
'0:0:13.72,25950
'0:0:13.74,25950
'0:0:13.76,25950
'0:0:13.78,25950
'0:0:13.8,25950
'0:0:13.82,25950
'0:0:13.84,25950
